time,#stopislam,#notinmyname,kafir
2014-11-24,77.0,284,4523
2014-11-25,63.0,393,4404
2014-11-26,74.0,251,5349
2014-11-27,67.0,236,4924
2014-11-28,58.0,295,4676
2014-11-29,49.0,178,4497
2014-11-30,69.0,268,4546
2014-12-01,81.0,130,4447
2014-12-02,73.0,127,3926
2014-12-03,57.0,157,3944
2014-12-04,68.0,267,3646
2014-12-05,71.0,277,3020
2014-12-06,68.0,245,3662
2014-12-07,60.0,188,3998
2014-12-08,78.0,356,4049
2014-12-09,61.0,503,4430
2014-12-10,58.0,1686,5000
2014-12-11,98.0,1476,4164
2014-12-12,90.0,208,4397
2014-12-13,88.0,320,4282
2014-12-14,85.0,162,4344
2014-12-15,120.0,1301,4300
2014-12-16,133.0,652,4366
2014-12-17,91.0,443,4172
2014-12-18,75.0,314,4892
2014-12-19,72.0,217,4003
2014-12-20,87.0,162,3965
2014-12-21,80.0,138,4182
2014-12-22,75.0,230,4440
2014-12-23,58.0,223,4140
2014-12-24,72.0,221,4319
2014-12-25,59.0,277,4161
2014-12-26,91.0,172,3969
2014-12-27,66.0,258,3875
2014-12-28,71.0,117,3815
2014-12-29,75.0,165,3925
2014-12-30,74.0,151,3868
2014-12-31,71.0,154,3866
2015-01-01,47.0,350,3928
2015-01-02,90.0,153,4255
2015-01-03,63.0,115,4272
2015-01-04,56.0,115,4301
2015-01-05,74.0,121,4858
2015-01-06,59.0,179,4119
2015-01-07,6998.0,3900,4881
2015-01-08,5066.0,3167,4710
2015-01-09,1178.0,3170,4554
2015-01-10,528.0,2078,4296
2015-01-11,417.0,1832,4374
2015-01-12,263.0,1164,7299
2015-01-13,203.0,834,6624
2015-01-14,200.0,1021,10063
2015-01-15,204.0,762,5380
2015-01-16,142.0,567,4634
2015-01-17,160.0,460,5657
2015-01-18,173.0,657,5667
2015-01-19,163.0,425,7709
2015-01-20,171.0,441,8930
2015-01-21,135.0,512,7336
2015-01-22,120.0,437,8092
2015-01-23,116.0,573,5198
2015-01-24,106.0,504,4498
2015-01-25,114.0,462,4687
2015-01-26,93.0,403,4544
2015-01-27,111.0,313,4222
2015-01-28,82.0,266,3581
2015-01-29,158.0,332,3409
2015-01-30,116.0,347,3784
2015-01-31,129.0,363,3958
2015-02-01,118.0,354,4178
2015-02-02,72.0,457,4008
2015-02-03,166.0,551,5665
2015-02-04,141.0,673,5480
2015-02-05,112.0,569,4511
2015-02-06,107.0,596,5063
2015-02-07,168.0,455,4986
2015-02-08,296.0,421,5080
